5010	-9.49	2.29	0.85
5032	-9.53	2.41	0.58
5055	-9.41	2.38	0.31
5079	-9.34	2.53	0.66
5101	-9.64	2.33	0.73
5124	-9.74	2.26	0.71
5147	-9.51	2.30	0.68
5170	-9.20	2.52	0.39
5192	-9.07	2.56	0.30
5216	-9.09	2.54	0.30
5238	-9.21	2.59	0.43
5261	-9.26	2.51	0.98
5284	-9.41	2.37	0.94
5307	-9.10	2.48	1.10
5329	-9.01	2.29	0.89
5353	-9.29	2.50	0.74
5376	-9.69	2.50	0.69
5398	-9.69	2.38	0.77
5422	-9.60	2.46	0.83
5444	-9.96	2.76	0.82
5467	-9.75	2.90	0.81
5490	-8.70	2.92	0.56
5513	-7.90	2.72	-0.09
5536	-7.58	3.36	0.48
5560	-8.13	3.62	1.52
5582	-8.30	2.94	1.49
5606	-8.76	3.01	1.37
5628	-9.20	3.45	1.26
5651	-10.01	3.68	1.36
5676	-10.07	3.50	1.52
5699	-9.48	3.10	0.78
5722	-9.24	3.64	0.43
5745	-8.45	3.77	0.72
5768	-8.62	3.41	0.45
5790	-8.77	2.99	0.26
5814	-9.47	2.81	0.91
5836	-9.53	3.05	1.15
5859	-9.51	3.21	1.27
5882	-9.48	2.55	1.20
5905	-10.19	2.16	1.65
5928	-11.64	2.23	2.58
5953	-12.47	1.99	2.19
5977	-13.13	1.70	1.58
6000	-13.34	0.85	1.87
6025	-12.51	0.27	1.90
6048	-10.61	-0.03	0.79
6074	-8.97	-0.51	0.91
6097	-8.09	-0.80	1.83
6121	-8.87	-0.58	2.37
6146	-8.90	-0.76	2.26
6169	-9.28	-0.67	1.63
6193	-9.75	0.23	0.76
6216	-8.91	1.01	0.35
6239	-8.80	0.98	-0.32
6262	-9.34	1.39	-0.50
6287	-8.97	1.67	0.29
6309	-8.84	1.97	0.40
6332	-8.54	2.06	0.34
6355	-8.16	2.26	0.81
6378	-8.48	2.15	0.57
6401	-8.72	2.42	0.72
6424	-9.26	2.11	0.82
6447	-9.65	2.01	0.73
6470	-9.95	1.83	0.24
6493	-10.18	2.12	0.45
6516	-11.22	2.38	1.15
6541	-13.11	1.70	2.67
6564	-12.35	0.89	2.39
6588	-10.93	1.18	0.95
6612	-9.29	1.85	0.65
6635	-9.05	1.92	0.59
6658	-10.04	1.20	1.45
6682	-10.76	0.83	2.26
6706	-11.04	1.20	2.81
6729	-10.55	1.45	2.04
6754	-8.74	1.32	1.49
6776	-7.89	1.25	1.53
6799	-8.03	1.33	0.79
6822	-8.03	1.73	1.13
6845	-7.94	1.55	1.08
6867	-8.24	1.72	1.04
6891	-8.60	2.25	1.10
6914	-8.51	2.28	1.07
6937	-8.54	2.06	1.22
6960	-8.83	2.17	1.55
6982	-9.46	2.16	1.50
7006	-9.46	1.72	1.87
7028	-9.66	1.51	1.55
7051	-9.37	1.72	1.08
7074	-10.02	2.03	1.21
7098	-11.34	2.01	2.47
7121	-11.99	1.62	2.29
7146	-11.74	1.39	1.55
7170	-11.04	1.92	1.02
7193	-11.04	2.08	0.52
7218	-9.62	1.23	0.42
7240	-9.00	0.66	1.46
7263	-8.81	0.70	2.10
7286	-8.45	1.11	2.37
7309	-7.82	1.02	2.24
7331	-8.06	0.97	1.93
7355	-8.92	1.53	1.72
7377	-8.87	2.28	1.24
7400	-8.61	2.42	0.79
7424	-8.29	2.69	0.87
7446	-8.51	2.89	1.02
7470	-8.72	2.55	1.16
7492	-8.78	2.46	1.18
7515	-8.83	2.37	0.91
7538	-9.08	2.77	0.72
7561	-8.77	2.88	0.87
7583	-8.77	2.84	1.05
7607	-9.09	2.81	0.48
7629	-9.45	2.86	1.74
7652	-11.79	2.50	3.95
7676	-12.36	0.45	3.59
7700	-11.66	0.83	2.51
7724	-10.77	1.58	3.45
7748	-9.51	1.95	3.17
7771	-8.99	2.35	2.49
7793	-9.15	2.04	3.05
7817	-10.70	1.94	4.05
7840	-10.39	1.70	3.83
7864	-9.77	1.77	4.06
7887	-9.31	1.67	3.80
7910	-9.15	1.43	3.27
7932	-8.23	1.47	3.51
7956	-7.73	1.32	3.49
7979	-7.51	1.19	3.17
8002	-7.84	1.47	3.06
8025	-7.79	1.31	3.05
8047	-8.19	1.41	3.29
8071	-8.38	1.54	3.22
8093	-8.56	1.52	2.37
8116	-9.38	1.67	2.69
8139	-9.60	1.62	2.67
8162	-10.55	1.31	2.11
8185	-10.98	1.20	1.58
8210	-11.60	0.86	2.04
8233	-12.60	1.54	2.49
8257	-12.64	2.09	1.37
8282	-10.87	2.68	1.30
8305	-9.39	2.70	1.33
8328	-8.76	2.59	1.63
8351	-8.06	2.04	2.09
8374	-7.93	1.31	2.62
8396	-8.15	1.08	3.75
8420	-8.88	1.40	3.98
8442	-9.02	1.45	2.56
8465	-9.11	1.61	1.88
8488	-9.43	2.18	1.44
8511	-9.39	2.71	0.46
8535	-8.92	2.68	0.66
8557	-8.39	2.66	1.01
8580	-7.97	2.94	1.33
8603	-7.82	2.89	1.33
8626	-7.42	2.85	1.57
8648	-8.12	3.28	1.59
8672	-8.10	3.49	0.77
8694	-8.62	3.89	0.88
8717	-9.09	4.04	1.07
8740	-10.93	3.89	0.34
8764	-11.58	3.71	1.38
8787	-11.74	3.52	4.49
8812	-12.33	2.59	4.68
8836	-10.22	2.40	3.37
8859	-8.16	2.75	3.22
8883	-8.19	3.58	4.02
8905	-8.54	2.90	4.50
8928	-9.69	2.02	4.02
8951	-9.93	1.87	4.13
8974	-9.76	2.45	3.70
8996	-8.48	2.85	2.18
9020	-7.83	2.88	1.33
9042	-8.06	2.57	0.94
9066	-8.19	2.63	1.30
9089	-7.78	2.27	1.31
9111	-8.01	2.09	1.42
9135	-8.16	2.27	1.61
9157	-8.20	2.40	1.81
9180	-8.22	2.38	2.34
9203	-8.52	2.38	2.78
9226	-9.15	2.24	2.60
9248	-9.14	2.61	2.53
9272	-9.10	2.55	2.26
9294	-8.87	3.06	1.27
9317	-10.58	3.60	2.27
9341	-11.73	3.04	3.61
9365	-11.09	2.76	2.87
9389	-9.64	2.73	1.36
9412	-9.45	2.79	1.47
9435	-9.46	2.43	1.62
9457	-9.43	1.61	1.73
9481	-8.76	0.89	1.99
9503	-8.74	1.71	2.87
9526	-8.10	2.39	2.33
9549	-8.44	2.27	2.16
9572	-8.09	1.92	2.04
9594	-8.67	2.34	2.16
9618	-8.19	2.67	1.73
9640	-7.60	3.07	1.51
9663	-7.48	3.01	1.58
9687	-8.08	3.06	1.58
9709	-8.59	3.31	1.40
9733	-9.06	3.71	1.11
9755	-9.91	4.02	1.85
9778	-10.31	4.00	2.28
9802	-10.52	3.65	1.94
9826	-11.64	3.85	2.45
9849	-11.78	3.12	3.72
9874	-11.98	1.77	3.34
9897	-10.38	2.27	1.89
9921	-9.02	2.68	2.31
9945	-9.49	2.31	2.72
9967	-9.18	2.04	2.56
9990	-9.31	1.58	3.16
10013	-9.78	1.81	3.26
10037	-9.68	2.14	2.55
10060	-9.12	2.10	1.73
10085	-8.48	1.79	1.87
10108	-8.83	2.00	2.22
10133	-8.34	1.86	1.98
10157	-8.01	1.63	1.96
10180	-8.03	1.70	2.16
10205	-8.35	1.93	2.18
10228	-8.55	1.93	2.47
10252	-9.22	1.91	2.82
10276	-9.55	1.73	2.49
10300	-10.04	1.60	2.60
10324	-9.80	1.52	2.47
10349	-9.17	1.19	1.70
10373	-10.94	1.65	2.16
10398	-11.04	1.93	2.17
10423	-10.79	1.59	1.40
10447	-10.02	1.58	0.95
10473	-9.79	2.06	0.79
10497	-9.76	1.30	0.66
10520	-9.38	0.50	1.26
10545	-9.48	1.03	1.60
10568	-9.13	1.43	1.64
10592	-9.04	1.34	1.16
10616	-9.01	1.40	0.76
10640	-8.99	1.79	0.82
10664	-8.50	1.91	0.53
10688	-8.17	2.15	0.79
10712	-8.36	2.34	0.93
10736	-8.57	2.05	0.94
10760	-8.79	2.35	1.18
10783	-8.86	2.57	0.57
10808	-8.80	2.69	0.32
10831	-9.36	2.75	0.16
10855	-9.92	3.05	0.36
10880	-10.05	2.97	0.70
10904	-8.98	2.86	0.40
10928	-10.34	3.21	0.78
10953	-11.62	2.41	2.60
10978	-12.29	1.27	2.82
11003	-10.78	0.63	1.58
11028	-8.81	1.52	1.38
11052	-9.39	2.10	1.15
11076	-9.18	1.61	0.98
11100	-10.04	0.90	1.92
11124	-10.99	1.37	2.45
11150	-9.66	1.71	2.28
11173	-8.49	1.32	1.53
11198	-8.52	1.42	1.43
11222	-8.83	1.58	1.68
11245	-8.68	1.38	1.36
11270	-8.44	1.50	1.62
11293	-8.58	1.73	1.42
11317	-8.65	1.96	1.46
11341	-8.90	2.03	1.67
11365	-9.21	1.86	1.65
11388	-10.03	1.85	1.71
11414	-10.16	1.84	1.81
11439	-10.29	1.54	1.86
11464	-10.93	1.24	1.58
11489	-11.32	1.45	2.67
11513	-11.00	1.19	1.30
11539	-10.21	1.76	0.34
11564	-10.18	2.24	0.42
11588	-9.73	1.37	0.34
11613	-9.29	0.87	0.57
11636	-9.45	0.77	1.35
11660	-9.18	0.58	1.66
11684	-9.05	0.49	1.81
11708	-9.59	0.28	1.51
11732	-9.62	0.70	1.07
11756	-9.22	0.87	0.31
11780	-9.07	0.93	0.00
11804	-9.35	1.38	0.15
11828	-8.92	1.40	0.29
11851	-8.55	1.37	0.72
11876	-8.70	1.73	1.01
11899	-8.67	2.02	1.00
11923	-8.50	2.15	0.63
11948	-8.62	2.24	0.49
11971	-8.84	2.43	0.37
11996	-9.16	2.52	0.40
12019	-9.70	2.06	0.74
12043	-10.42	1.84	0.98
12068	-10.25	1.73	0.95
12093	-11.54	2.03	0.82
12118	-12.52	1.42	2.23
12143	-12.20	0.49	2.18
12168	-10.05	0.26	1.52
12192	-9.03	0.99	1.09
12217	-9.48	1.47	1.07
12240	-9.84	0.81	1.48
12265	-10.65	0.61	2.15
12290	-11.14	1.13	2.51
12314	-10.07	1.54	1.72
12340	-8.82	1.33	1.23
12363	-8.87	1.64	0.67
12387	-9.28	1.80	0.82
12411	-9.17	1.61	0.93
12435	-8.99	1.65	1.14
12459	-8.90	2.06	1.01
12483	-8.99	2.27	0.93
12507	-8.91	2.21	1.27
12531	-9.33	2.01	1.28
12555	-9.16	2.23	1.14
12578	-9.21	2.28	1.43
12603	-9.67	2.07	1.25
12626	-9.86	1.86	1.54
12650	-9.99	2.01	1.58
12675	-9.71	2.23	1.11
12698	-10.18	2.18	1.37
12723	-10.69	2.11	1.54
12748	-10.79	2.28	0.89
12773	-10.25	2.13	0.47
12798	-9.98	2.02	0.79
12822	-9.24	1.64	0.40
12846	-8.87	1.21	1.12
12870	-8.22	0.99	1.77
12894	-8.98	1.38	1.84
12917	-9.28	1.58	1.80
12942	-9.59	1.66	1.08
12965	-9.92	2.15	0.99
12989	-9.45	2.61	0.47
13014	-8.97	2.78	0.21
13037	-8.37	2.91	0.15
13062	-8.21	3.17	0.34
13085	-8.57	3.41	0.65
13109	-8.48	3.11	0.62
13133	-8.69	3.12	0.66
13157	-8.80	3.44	0.66
13180	-8.72	3.55	0.77
13205	-9.50	3.50	0.59
13229	-9.76	3.58	0.92
13252	-9.83	3.22	0.85
13277	-9.64	3.44	0.36
13300	-10.24	3.98	0.66
13326	-11.26	3.63	2.00
13350	-11.04	2.68	2.32
13375	-10.92	3.09	2.14
13401	-9.43	2.94	1.60
13424	-8.24	2.56	0.79
13448	-8.10	2.83	0.98
13472	-8.89	2.51	1.80
13496	-8.90	2.01	2.43
13519	-9.49	1.97	2.61
13544	-9.20	2.20	2.70
13568	-8.75	1.98	2.11
13592	-8.12	1.91	1.93
13616	-8.49	1.89	1.72
13639	-8.79	1.75	1.75
13664	-8.89	1.81	2.03
13687	-8.91	1.74	2.03
13711	-9.24	1.76	2.27
13735	-9.32	1.66	2.04
13759	-8.98	1.68	2.32
13783	-9.04	1.76	1.98
13807	-9.59	1.95	1.96
13831	-10.12	1.69	2.15
13855	-10.07	1.59	1.83
13881	-9.60	1.86	1.39
13904	-10.89	2.10	1.85
13930	-11.41	1.87	1.67
13955	-10.98	1.33	0.92
13979	-10.31	1.00	0.25
14005	-9.82	1.23	0.28
14028	-9.45	0.77	0.44
14052	-9.40	0.10	0.86
14076	-9.48	0.46	1.38
14100	-10.12	0.52	1.70
14126	-9.79	0.60	1.55
14149	-9.64	0.20	0.84
14173	-9.97	0.35	0.45
14197	-9.48	0.60	0.03
14221	-9.42	1.10	-0.06
14245	-9.13	1.12	-0.32
14271	-9.09	1.19	-0.00
14296	-9.11	1.56	0.41
14319	-9.07	1.97	0.53
14344	-8.90	1.90	0.34
14367	-9.05	1.89	0.36
14392	-9.23	2.19	0.42
14415	-9.26	2.44	0.32
14439	-9.06	2.45	0.06
14464	-9.20	2.41	0.32
14487	-9.37	2.49	0.63
14511	-9.49	2.59	0.45
14535	-9.25	2.51	0.49
14559	-9.33	2.65	0.22
14582	-10.50	2.88	0.41
14608	-11.38	2.28	1.34
14632	-10.86	1.32	1.24
14658	-10.35	1.32	1.21
14683	-9.64	1.48	1.54
14706	-9.53	1.45	0.93
14731	-9.49	1.07	1.65
14754	-9.95	1.15	1.91
14778	-10.13	1.38	2.35
14803	-9.77	0.89	2.77
14827	-9.70	0.81	2.43
14851	-9.56	0.89	1.97
14875	-9.45	0.67	1.63
14899	-9.28	0.84	1.36
14923	-9.34	0.77	1.02
14947	-9.41	0.74	1.47
14970	-9.33	0.94	1.99
14995	-9.31	0.76	1.93
15019	-9.34	0.78	2.13
15042	-9.46	0.83	2.25
15067	-9.09	0.99	2.01
15090	-9.00	0.95	1.80
