6	-9.26	1.87	2.97
8	-9.30	1.92	2.99
11	-9.25	1.90	2.95
19	-9.22	1.90	2.89
39	-9.14	1.92	2.72
60	-8.97	1.91	2.56
81	-8.97	2.05	2.59
102	-9.24	2.24	2.57
123	-9.47	2.22	2.65
145	-9.67	2.06	2.71
167	-9.42	1.92	2.59
189	-9.26	2.04	2.44
210	-9.45	2.13	2.55
233	-9.23	2.04	2.36
254	-9.22	1.86	2.50
276	-9.31	1.83	2.94
299	-10.02	2.04	3.10
321	-10.05	1.70	2.71
344	-10.20	1.61	2.31
367	-9.89	1.70	2.01
389	-9.72	1.74	1.88
410	-9.47	1.55	2.01
433	-9.02	1.48	1.94
454	-9.28	1.41	2.27
476	-9.26	1.71	2.48
498	-9.30	1.49	2.34
520	-9.04	1.20	1.99
541	-9.28	1.09	1.80
564	-9.01	1.00	1.59
585	-9.45	1.46	1.88
607	-9.48	1.35	2.19
629	-9.12	0.94	2.14
651	-9.50	0.86	1.92
672	-9.72	1.11	1.66
695	-9.46	0.93	1.31
716	-9.55	0.65	1.23
738	-9.67	0.68	1.38
760	-9.72	0.69	1.75
782	-9.58	0.68	1.82
803	-9.15	0.77	1.65
826	-9.05	0.96	1.62
847	-8.61	1.05	1.49
869	-8.73	1.14	1.61
891	-8.69	1.25	1.38
913	-8.78	1.34	1.22
934	-8.70	1.58	1.16
957	-8.79	1.70	1.04
978	-9.19	1.90	0.97
1000	-9.06	2.30	0.97
1024	-9.25	2.45	0.70
1046	-9.39	2.38	0.85
1069	-10.06	2.43	1.62
1093	-10.48	2.20	1.84
1117	-9.99	1.72	1.96
1139	-9.94	1.47	1.79
1163	-10.88	1.52	1.92
1186	-11.27	1.52	2.49
1210	-11.49	0.99	3.36
1234	-10.71	0.54	2.90
1258	-10.55	0.69	1.91
1283	-9.95	1.21	1.41
1305	-9.33	1.67	1.49
1328	-8.76	1.48	2.06
1351	-8.93	1.10	2.60
1374	-8.97	0.95	2.90
1396	-9.03	1.13	3.33
1420	-8.84	0.99	3.27
1442	-8.71	0.76	2.90
1465	-9.07	0.34	2.94
1488	-9.25	0.09	2.77
1511	-9.04	0.32	2.35
1533	-8.60	0.51	2.16
1557	-8.49	0.44	2.04
1580	-8.80	0.91	2.09
1602	-9.10	1.16	2.16
1626	-9.22	1.21	2.23
1648	-9.38	1.55	2.20
1671	-9.21	1.74	2.09
1694	-9.47	2.03	2.14
1717	-9.30	2.08	2.17
1739	-8.80	1.86	2.29
1763	-9.09	1.76	2.43
1785	-9.53	1.89	2.36
1808	-10.14	1.82	2.79
1832	-9.97	1.71	2.85
1855	-11.37	1.68	3.37
1880	-12.33	1.93	3.94
1903	-12.21	1.65	3.65
1927	-11.44	0.96	3.20
1951	-10.66	1.18	2.98
1975	-8.73	1.41	1.82
1997	-7.70	1.45	2.12
2021	-7.72	1.50	2.98
2043	-7.80	1.11	2.93
2066	-7.99	1.15	3.85
2089	-8.63	1.29	4.87
2112	-9.30	1.34	4.23
2135	-8.45	1.41	3.40
2158	-8.67	1.40	3.73
2181	-8.67	1.47	2.40
2203	-8.96	1.89	2.23
2227	-8.60	1.99	2.47
2249	-8.26	1.58	2.83
2272	-8.62	1.59	2.39
2295	-8.87	1.65	1.88
2318	-8.82	1.88	2.15
2340	-8.81	1.80	2.06
2364	-8.67	1.73	1.77
2386	-9.09	2.06	2.60
2410	-9.24	2.20	3.17
2433	-9.03	2.01	2.92
2455	-9.01	1.92	2.94
2479	-10.54	2.41	3.60
2502	-10.98	2.23	3.77
2526	-9.67	1.16	2.75
2549	-9.29	1.48	2.52
2572	-9.68	2.23	3.01
2594	-9.05	1.77	2.78
2618	-8.66	1.24	3.47
2640	-9.34	0.99	4.81
2663	-9.47	0.85	4.96
2686	-9.28	0.69	4.65
2709	-8.74	0.64	4.07
2732	-8.67	0.66	3.71
2755	-8.66	0.83	3.58
2778	-8.50	0.86	3.48
2800	-8.22	0.86	3.04
2824	-8.91	0.96	2.72
2846	-9.15	1.14	2.56
2869	-9.00	1.16	2.32
2892	-8.73	1.02	2.54
2915	-8.85	1.22	3.25
2937	-8.96	1.35	3.32
2961	-9.09	1.20	3.44
2983	-8.89	1.13	3.28
3006	-9.34	1.30	3.36
3030	-9.14	1.32	3.26
3052	-9.06	1.67	3.35
3076	-9.37	1.85	3.14
3098	-10.63	2.09	3.61
3122	-11.40	1.43	3.71
3146	-11.19	0.96	2.71
3170	-10.32	1.00	1.45
3193	-10.00	1.69	1.41
3218	-9.55	1.57	2.00
3240	-9.12	0.45	2.78
3263	-8.90	0.16	3.14
3287	-9.28	0.43	3.76
3309	-9.07	0.50	2.79
3332	-8.66	0.46	2.19
3355	-8.14	0.61	2.36
3378	-8.35	0.81	1.92
3400	-8.12	0.82	1.58
3424	-8.33	1.07	2.02
3446	-8.05	0.92	1.98
3469	-8.16	0.89	1.96
3492	-8.61	1.27	1.42
3515	-9.06	1.61	1.39
3537	-8.84	1.58	1.59
3561	-9.76	1.46	1.96
3584	-10.39	1.59	2.03
3608	-10.59	1.58	2.09
3632	-10.60	1.60	2.29
3655	-9.88	1.67	2.14
3679	-10.71	2.10	2.59
3702	-11.31	1.76	3.98
3726	-11.44	0.94	4.32
3750	-10.60	0.37	2.81
3774	-10.43	0.71	2.63
3798	-10.02	1.45	2.31
3822	-9.04	1.31	2.07
3845	-9.20	0.94	2.72
3867	-9.67	0.72	2.99
3891	-9.97	0.79	2.83
3913	-9.52	1.00	2.62
3936	-8.62	0.97	2.33
3959	-8.28	0.95	2.23
3982	-8.18	1.01	2.16
4004	-8.08	0.92	2.39
4028	-7.81	0.57	2.49
4050	-8.30	0.69	2.60
4074	-8.71	0.78	2.44
4097	-8.66	0.72	2.61
4119	-9.15	0.70	2.65
4143	-9.27	0.53	2.22
4165	-9.52	0.42	2.48
4188	-9.73	0.29	2.59
4211	-10.06	0.49	2.15
4235	-10.50	0.64	2.16
4258	-11.81	1.09	3.02
4283	-11.76	0.45	3.17
4306	-11.06	0.53	2.32
4330	-10.48	0.82	1.20
4355	-10.29	1.08	1.39
4378	-9.42	0.93	1.88
4401	-8.93	0.37	2.33
4424	-8.96	-0.33	2.59
4448	-9.55	0.01	3.19
4470	-9.03	0.43	2.33
4494	-8.33	0.23	1.55
4516	-8.26	0.41	1.43
4540	-8.33	0.97	1.02
4562	-7.63	0.82	0.77
4585	-7.66	0.88	1.38
4609	-7.96	1.22	1.48
4631	-8.43	1.42	1.52
4654	-8.44	1.58	1.58
4677	-8.91	1.68	1.42
4700	-9.14	2.15	1.61
4722	-9.50	2.33	1.84
4746	-10.12	2.09	2.02
4769	-10.44	2.06	2.04
4793	-9.84	1.92	1.43
4816	-10.84	1.76	1.86
4840	-11.68	1.63	2.52
4864	-13.01	1.73	3.19
4888	-11.04	0.65	1.92
4912	-9.64	0.29	1.94
4934	-10.01	1.42	2.39
4959	-9.61	2.50	2.43
4981	-8.41	1.29	2.28
5004	-8.71	0.17	2.65
5027	-10.41	0.56	3.37
5051	-10.20	0.79	3.03
5075	-8.84	0.29	2.35
5098	-8.24	0.11	2.04
5121	-8.45	0.31	2.04
5144	-8.14	0.46	2.02
5167	-7.93	0.52	2.25
5189	-8.08	0.59	2.09
5213	-8.82	0.67	1.96
5235	-9.06	0.92	2.15
5258	-8.98	1.13	2.61
5281	-9.04	1.21	2.88
5304	-9.18	1.16	2.85
5326	-9.22	1.13	3.06
5350	-9.57	1.09	2.93
5372	-10.67	1.24	3.35
5396	-12.42	1.67	4.18
5421	-11.90	1.26	3.68
5444	-10.51	1.03	2.24
5468	-9.84	1.70	1.35
5491	-9.70	2.28	1.50
5514	-9.14	1.53	1.77
5536	-8.95	0.55	2.41
5560	-9.20	0.20	2.98
5582	-9.22	0.79	3.03
5606	-9.11	1.47	2.42
5628	-8.29	1.45	1.93
5651	-8.03	1.24	1.79
5675	-7.56	1.40	1.58
5697	-7.47	1.67	2.17
5720	-7.36	1.95	2.42
5743	-7.63	2.12	2.87
5766	-7.97	2.36	2.51
5788	-8.69	2.37	2.35
5812	-9.15	2.88	2.28
5834	-10.07	3.05	2.33
5858	-10.45	2.51	2.47
5882	-10.70	2.18	3.37
5906	-12.04	2.10	4.47
5929	-11.96	1.18	4.44
5954	-10.54	0.95	3.54
5978	-9.81	1.42	3.05
6000	-9.67	1.77	3.11
6024	-9.22	1.93	3.05
6046	-9.21	1.60	3.36
6069	-9.76	1.29	3.85
6092	-9.81	1.13	4.21
6115	-9.45	1.08	4.31
6138	-8.93	1.31	3.97
6161	-8.20	1.30	3.61
6183	-7.69	1.05	3.67
6207	-7.35	0.98	3.70
6230	-7.06	0.99	3.58
6252	-7.45	0.90	3.64
6276	-7.69	0.88	3.87
6298	-7.97	1.10	3.89
6321	-8.18	0.99	3.19
6344	-8.41	1.22	3.44
6367	-9.10	1.52	3.64
6389	-9.61	0.99	3.16
6413	-9.67	0.62	3.16
6435	-10.30	0.76	2.96
6459	-10.98	0.90	3.24
